--------- beginning of main
07-30 07:32:26.271 D/SKK     (12649): SKKEngine: processKey: code=101 char='e' state=SKKHiraganaState kanji=false choose=false compose='t' kanjiKey=''
07-30 07:32:26.271 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:26.271 D/SKK     (12649): FlickJP: cleanupState lastKey=-204 shiftBefore=false
07-30 07:32:26.516 D/SKK     (12649): convertLastChar(str=紙て, type=trans)
07-30 07:32:26.516 D/SKK     (12649): first=紙 (last=て), kana=て
07-30 07:32:26.516 D/SKK     (12649): changeLastChar: 2chars=(紙, で)
07-30 07:32:26.516 D/SKK     (12649): FlickJP: cleanupState lastKey=-1006 shiftBefore=false
07-30 07:32:26.767 D/SKK     (12649): SKKEngine: processKey: code=116 char='t' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:26.767 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='t' kanjiKey=''
07-30 07:32:26.767 D/SKK     (12649): SKKEngine: processKey: code=97 char='a' state=SKKHiraganaState kanji=false choose=false compose='t' kanjiKey=''
07-30 07:32:26.767 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:26.767 D/SKK     (12649): FlickJP: cleanupState lastKey=-204 shiftBefore=false
07-30 07:32:27.177 D/SKK     (12649): convertLastChar(str=でた, type=trans)
07-30 07:32:27.177 D/SKK     (12649): first=で (last=た), kana=た
07-30 07:32:27.177 D/SKK     (12649): changeLastChar: 2chars=(で, だ)
07-30 07:32:27.177 D/SKK     (12649): FlickJP: cleanupState lastKey=-1006 shiftBefore=false
07-30 07:32:27.461 D/SKK     (12649): SKKEngine: processKey: code=115 char='s' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:27.462 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='s' kanjiKey=''
07-30 07:32:27.462 D/SKK     (12649): SKKEngine: processKey: code=117 char='u' state=SKKHiraganaState kanji=false choose=false compose='s' kanjiKey=''
07-30 07:32:27.462 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:27.462 D/SKK     (12649): FlickJP: cleanupState lastKey=-203 shiftBefore=false
07-30 07:32:27.780 D/SKK     (12649): SKKEngine: processKey: code=116 char='t' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:27.781 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='t' kanjiKey=''
07-30 07:32:27.781 D/SKK     (12649): SKKEngine: processKey: code=111 char='o' state=SKKHiraganaState kanji=false choose=false compose='t' kanjiKey=''
07-30 07:32:27.781 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:27.781 D/SKK     (12649): FlickJP: cleanupState lastKey=-204 shiftBefore=false
07-30 07:32:28.044 D/SKK     (12649): SKKEngine: processKey: code=107 char='k' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:28.044 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='k' kanjiKey=''
07-30 07:32:28.044 D/SKK     (12649): SKKEngine: processKey: code=97 char='a' state=SKKHiraganaState kanji=false choose=false compose='k' kanjiKey=''
07-30 07:32:28.044 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:28.044 D/SKK     (12649): FlickJP: cleanupState lastKey=-202 shiftBefore=false
07-30 07:32:31.642 D/SKK     (12649): lifecycle: onStartInput
07-30 07:32:31.644 D/SKK     (12649): lifecycle: onStartInputView
07-30 07:32:31.646 D/SKK     (12649): lifecycle: onUpdateEditorToolType
07-30 07:32:31.953 D/SKK     (12649): lifecycle: onFinishInputView
07-30 07:33:20.856 D/SKK     (12649): lifecycle: onStartInput
07-30 07:33:20.858 D/SKK     (12649): lifecycle: onUpdateEditorToolType
07-30 07:33:20.858 D/SKK     (12649): lifecycle: onEvaluateInputViewShown
07-30 07:33:20.859 D/SKK     (12649): lifecycle: onEvaluateInputViewShown
07-30 07:33:20.859 D/SKK     (12649): lifecycle: onStartInputView
07-30 07:33:22.165 D/SKK     (12649): FlickJP: processYAKey isShifted=false flick=[DOWN]
07-30 07:33:22.165 D/SKK     (12649): FlickJP: processing y.vowel y=121 vowel=111
07-30 07:33:22.165 D/SKK     (12649): SKKEngine: processKey: code=121 char='y' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:33:22.165 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='y' kanjiKey=''
07-30 07:33:22.165 D/SKK     (12649): SKKEngine: processKey: code=111 char='o' state=SKKHiraganaState kanji=false choose=false compose='y' kanjiKey=''
07-30 07:33:22.165 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:33:22.165 D/SKK     (12649): FlickJP: cleanupState lastKey=-208 shiftBefore=false
07-30 07:33:23.072 D/SKK     (12649): FlickJP: releaseShiftKey isShifted=false lastKey=-1
07-30 07:33:23.072 D/SKK     (12649): FlickJP: cleanupState lastKey=-1 shiftBefore=true
07-30 07:33:23.425 D/SKK     (12649): FlickJP: processYAKey isShifted=true flick=[DOWN]
07-30 07:33:23.425 D/SKK     (12649): FlickJP: processing y.vowel y=121 vowel=111
07-30 07:33:23.425 D/SKK     (12649): SKKEngine: processKey: code=121 char='y' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:33:23.426 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='y' kanjiKey=''
07-30 07:33:23.426 D/SKK     (12649): SKKEngine: processKey: code=111 char='o' state=SKKHiraganaState kanji=false choose=false compose='y' kanjiKey=''
07-30 07:33:23.426 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:33:23.426 D/SKK     (12649): FlickJP: cleanupState lastKey=-208 shiftBefore=true
07-30 07:33:24.060 D/SKK     (12649): FlickJP: releaseShiftKey isShifted=false lastKey=-1
07-30 07:33:24.060 D/SKK     (12649): FlickJP: cleanupState lastKey=-1 shiftBefore=true
07-30 07:33:24.355 D/SKK     (12649): FlickJP: processYAKey isShifted=true flick=[DOWN]
07-30 07:33:24.355 D/SKK     (12649): FlickJP: processing y.vowel y=121 vowel=111
07-30 07:33:24.355 D/SKK     (12649): SKKEngine: processKey: code=121 char='y' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:33:24.356 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='y' kanjiKey=''
07-30 07:33:24.356 D/SKK     (12649): SKKEngine: processKey: code=111 char='o' state=SKKHiraganaState kanji=false choose=false compose='y' kanjiKey=''
07-30 07:33:24.356 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:33:24.356 D/SKK     (12649): FlickJP: cleanupState lastKey=-208 shiftBefore=true
07-30 07:33:24.693 D/SKK     (12649): SKKEngine: processKey: code=114 char='r' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:33:24.694 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='r' kanjiKey=''
